text,user
b'RT @benandjerrys: Black Lives Matter. Choosing to be silent in the face of such injustice is not an option. https://t.co/6Vy0KHJeKU #BlackL\xe2\x80\xa6',DerilusMia
b'RT @masterwilliams: Currently in Georgetown DC. M street shutdown. #BlackLivesMatter protest. https://t.co/dRevpRuUOM',sweetelegance_
b'RT @benandjerrys: Black Lives Matter. Choosing to be silent in the face of such injustice is not an option. https://t.co/6Vy0KHJeKU #BlackL\xe2\x80\xa6',briannapanton
b'RT @LucidHurricane_: Nobody is #MoreElectableThanTrump for the AA community \n#BlackLivesMatter to @realDonaldTrump https://t.co/tbpcVjonZ1',ski95252
"b'#BLM #blacklivesmatter if you want to make a difference, join the force. Do the job, wear the badge, make the changes from within'",david_p_young
b'ANOTHER VIEW OF @YOUTUBE FT. @TJSOTOMAYOR #TommySotomayor \nhttps://t.co/5WtldeCAP3 #YouTube #YTCreators #BLM\xe2\x80\xa6 https://t.co/ec9osIpnNg',SundayOmony
b'@georgid63 @RodLurie The KKK has never caused as much destruction as #BlackLivesMatter has',FollowSmoke2
b'RT @DRoOakland: Written by Justin C. Cohen #BlackLivesMatter #AltonSterling https://t.co/oIZOxxhfCj',theclaytyler
b'RT @benandjerrys: Is systemic racism a thing? It sure is and these stats prove it &gt;&gt; https://t.co/IrkJyIJ2nW #BlackLivesMatter https://t.co\xe2\x80\xa6',GAYPRESlDENT
b'RT @LucidHurricane_: Nobody is #MoreElectableThanTrump for the AA community \n#BlackLivesMatter to @realDonaldTrump https://t.co/tbpcVjonZ1',redsonic17
"b'RT @frankgaffney: How the #BlackLivesMatter movement has exploited a non-cause. Truth behind #BLM , its origins &amp; funding https://t.co/vvOk\xe2\x80\xa6'",ZBeeblebrox42nc
b'RT @benandjerrys: Black Lives Matter. Choosing to be silent in the face of such injustice is not an option. https://t.co/6Vy0KHJeKU #BlackL\xe2\x80\xa6',KLevyMusic
"b""RT @ArielFoxman: Today, tmrw, this week: watch @AVAETC @13THFilm on @Netflix. It's brilliant, eye-opening &amp; most of all, critical viewing.\xe2\x80\xa6""",LisaNappyJappy
b'TRUMP IS A DISGRACE Call 855-878-6700 Overload the phones Empty his hotels  #BlackLivesMatter #ThatMexicanThing\xe2\x80\xa6 https://t.co/0oPKYgY7Sc',ogkeyser
