user,text
StrawLivesMattr,"b'IF U THINK #whitelivesmatter is a hate group, u are a hateful biggot. WHAT MAKES MY LIFE LESS VALUABLE??!'"
stayashley,b'RT @naferati: this reminds me a whole lot of the alllivesmatter/whitelivesmatter people\n\ndo u see how racist u r now? https://t.co/umsj1bPg\xe2\x80\xa6'
rickmerss,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
Lendrum1488,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
Darkalley3,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
DrPeich,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
robie_razor,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
drappleton5,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
FreeMeFromPC,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
SrTz7Yo3O6SqGpq,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
shain881,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
poeticrat,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
AdmiralDomville,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
awakenedgoyim,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
FunkyKovaI,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
PosterityTitan,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
DrDavidDuke,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
hellaroasty,"b""@KevinKleinLIVE I'm so offended! I wasn't invited and cops were?? #whitelivesmatter"""
TimothyHatley,b'RT @NEW_ORDER_NOW: Tweeting &amp; online activism is fine but we must also carry the racial struggle into the real world\nhttps://t.co/cXUgfVWtV\xe2\x80\xa6'
Diamond_inRut,"b'Whether it is school shootings, serial killers, even just plain cold blooded lack of humanity method killing but ig\xe2\x80\xa6 https://t.co/3FzzcKat2n'"
ChrisBarecky,"b'@AmeliaNGibson @zeynep Yeah, generally I try 2 say #AllLivesMatter rather than just #BlackLivesMatter #WhiteLivesMatter #HispanicLivesMatter'"
StrawLivesMattr,b'#blackLivesMatter is just a way to HATE white people. Shouldnt #WhiteLivesMatter cuz ALL lives do? !'
MarkoSket,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
NoWhiteGuilt88,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
Miran7777,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
12pleyades,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
SamOliv42,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
FreakyP88,b'@Marlboroman305 Same place #WhiteLivesMatter is on this. https://t.co/9bbQywf4nG\n#BlackLivesMatter'
StrawLivesMattr,b'#blackLivesMatter is just a way to HATE white people. Shouldnt #WhiteLivesMatter cuz ALL lives do? @'
Duhtchdaddy,b'@benshapiro sounds like @realDonaldTrump needs some proper #guncontrol #whitelivesmatter'
karel_tesla,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
FaustinDon,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
Tightrope_1,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
StrawLivesMattr,"b'BLM, Crooked Hillary, Obama are the REAL RACISTS!!!! #WhiteLivesMatter #BlueLivesMatter #FuckIdiots!'"
StrawLivesMattr,"b'Yes, put it on my grave that #ISaluteWhitePeople. Never before has a single race done so much for the world!!! #Whitelivesmatter!!'"
kenfriend55,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
dsmitty7773,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
StrawLivesMattr,b'#blackLivesMatter is just a way to HATE white people. Shouldnt #WhiteLivesMatter cuz ALL lives do?'
HalingHoogers,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
SonofWodan010,"b""RT @JtheDutchy: 17 blacks arrested for BURNING a WHITE girl alive. This is the racism we don't see in the media. God this makes me sick. #w\xe2\x80\xa6"""
Lola4Trump,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
IslamicZombies,b'Immigrants tend not to join our Military.\nWhy would they?\n#loyalty to a foreign land?\nPs: whites protect\xe2\x80\xa6 https://t.co/93dxs4tiVm'
NSMWorldTalk,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
StrawLivesMattr,b'#blackLivesMatter is just a way to HATE white people. Shouldnt #WhiteLivesMatter cuz ALL lives do? #'
HellKittyNinja,"b""RT @JtheDutchy: 17 blacks arrested for BURNING a WHITE girl alive. This is the racism we don't see in the media. God this makes me sick. #w\xe2\x80\xa6"""
sgtgigglemitten,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
johnsteele83,"b'@AmalB78    Hey you, coconut...#WhiteLivesMatter  hahaha'"
NordicUnion,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
ladyrare1,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
JtheDutchy,"b""17 blacks arrested for BURNING a WHITE girl alive. This is the racism we don't see in the media. God this makes me\xe2\x80\xa6 https://t.co/MPMiBirlOu"""
cuglo35,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
giantscs14,"b'Like hello, #whitelivesmatter #hispaniclivesmatter #asianlivesmatter #AllLivesMatter the blm group is a fucking joke calm down assholes -.-'"
StrawLivesMattr,b'#blackLivesMatter is just a way to HATE white people. Shouldnt #WhiteLivesMatter cuz ALL lives do? .'
white_storm72,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
TrotlineDesigns,b'RT @NEW_ORDER_NOW: Reality of life in 2016 America: White schoolgirls attacked on bus by Black gang.\nhttps://t.co/pCScFLeG5W\n#WhiteLivesMat\xe2\x80\xa6'
shitlawrdjr,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
karendonaldson2,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
StrawLivesMattr,"b'Yes, put it on my grave that #ISaluteWhitePeople. Never before has a single race done so much for the world!!! #Whitelivesmatter'"
WhiteKnight0005,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
arguetron,b'someone should make a blocklist to block everyone who unironically posts in #WhiteLivesMatter'
TonyHorabin,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
skypewars,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
TrumptheAlpha,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
HeedThisWarning,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
MassKasper,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
007harvey,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
wanttruth,b'RT @genophilia_anew: The politically incorrect truth about interracial rape:\n\nhttps://t.co/exIDrv91bv\n\n#Rape #rapeculture #waronwhites #whi\xe2\x80\xa6'
wanttruth,"b""RT @apurposefulwife: 1 of the sickest tweets I've ever read.This is the prog reaction when a white woman is kidnapped by Mexicans. \n\n#Altri\xe2\x80\xa6"""
wanttruth,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
Ironwand,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
StrawLivesMattr,"b'Yes, put it on my grave that #ISaluteWhitePeople. Never before has a single race done so much for the world!!! #Whitelivesmatter;'"
DebbieEllis10,b'RT @Le_Pen_2017: NEVER apologise for white history or being white. STOP \xf0\x9f\x9a\xab #WhiteGenocide  #WhiteHistoryMonth  #WhiteLivesMatter  #RightsFor\xe2\x80\xa6'
BalkenCross,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
NordicWarriorB,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
CapitalismB4U,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
LGwapo1,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
andreassoridis,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
StrawLivesMattr,"b'IF U THINK #whitelivesmatter is a hate group, u are a hateful biggot. WHAT MAKES MY LIFE LESS VALUABLE?;'"
shlomoshekelst2,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
rjltrevisan,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
TrueRightNet,"b""RT @afed3352: #WhiteLIvesMatter!: Gang of Four Who Brutally Beat 'White Boy' Trump Supporter on Video Aren\xe2\x80\x99t Laughing So Much Now https://t\xe2\x80\xa6"""
RoundhallHero,b'#parliament #goingforward can the children of #gaycouples expect to see the same #social favours as their parents?#whitelivesmatter #BBC #c4'
txtrts,"b'@GREATisNicki lmao you right as hell half these mfs here made ""whitelivesmatter"" posters and everything come save me sis'"
StrawLivesMattr,b'#blackLivesMatter is just a way to HATE white people. Shouldnt #WhiteLivesMatter cuz ALL lives do? !'
Mr____Alexander,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
nicolaikolev,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
go_pats_5,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
Jeyaeelam,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
Jo62Nathan,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
Sly_Slijker,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
orlandoandresm4,b'RT @Le_Pen_2017: NEVER apologise for white history or being white. STOP \xf0\x9f\x9a\xab #WhiteGenocide  #WhiteHistoryMonth  #WhiteLivesMatter  #RightsFor\xe2\x80\xa6'
SmashAntifa,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
RoundhallHero,"b""#parliament I didn't design the #psychology of #women nor did I use it to create #gays so why am I held #accountable #whitelivesmatter"""
realnycvalues,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
zacrushmore,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
SurtMjollnir,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
kingalexiadis,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
Shekelator187,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
Jacob_Tilt,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
legionodeathIII,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
UyAnimeHunter,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
JMGM3168,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
slimpissboy,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
UnrealRonBrown,b'RT @DrDavidDuke: Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\n\n#WhiteLive\xe2\x80\xa6'
DrDavidDuke,b'Our young men continue to awaken. These men will ensure that the beauty of our woman will never perish from \xf0\x9f\x8c\x8e.\xe2\x80\xa6 https://t.co/HGlGD6d0FB'
SirClappy,"b'#WhiteLivesMatter Another ""hero"" dies! https://t.co/Br84F02ajt'"
apurposefulwife,"b""I can't wait until the #WhiteLivesMatter protests...\xf0\x9f\x98\x82 https://t.co/Upq3pFX4Nr"""
derekthewolf,b'RT @apurposefulwife: The anti white racism on the #sherripapini hashtag needs to be trolled by edge Lords. This is fracked up \xf0\x9f\x98\xa1\n\n#altright\xe2\x80\xa6'
jefflcohen,"b""RT @apurposefulwife: 1 of the sickest tweets I've ever read.This is the prog reaction when a white woman is kidnapped by Mexicans. \n\n#Altri\xe2\x80\xa6"""
R_Sigurdson,"b""Of course, #tenors are better off w/o #whitelivesmatter guy, but not sure that they're the best Canada can come up w/ for #GreyCup anthem."""
DaBiggestGun,"b""RT @apurposefulwife: 1 of the sickest tweets I've ever read.This is the prog reaction when a white woman is kidnapped by Mexicans. \n\n#Altri\xe2\x80\xa6"""
JamesDesChance,"b""RT @apurposefulwife: 1 of the sickest tweets I've ever read.This is the prog reaction when a white woman is kidnapped by Mexicans. \n\n#Altri\xe2\x80\xa6"""
CapitalismB4U,"b""RT @apurposefulwife: 1 of the sickest tweets I've ever read.This is the prog reaction when a white woman is kidnapped by Mexicans. \n\n#Altri\xe2\x80\xa6"""
NoWhiteGuilt88,b'RT @apurposefulwife: The anti white racism on the #sherripapini hashtag needs to be trolled by edge Lords. This is fracked up \xf0\x9f\x98\xa1\n\n#altright\xe2\x80\xa6'
SmokinSam420,"b""RT @apurposefulwife: 1 of the sickest tweets I've ever read.This is the prog reaction when a white woman is kidnapped by Mexicans. \n\n#Altri\xe2\x80\xa6"""
JeanEBraveaux,b'RT @apurposefulwife: The anti white racism on the #sherripapini hashtag needs to be trolled by edge Lords. This is fracked up \xf0\x9f\x98\xa1\n\n#altright\xe2\x80\xa6'
SurtMjollnir,b'RT @Le_Pen_2017: NEVER apologise for white history or being white. STOP \xf0\x9f\x9a\xab #WhiteGenocide  #WhiteHistoryMonth  #WhiteLivesMatter  #RightsFor\xe2\x80\xa6'
